text,label
1,0
- Pass null username for superuser and remove isSuper paramenter.,0
- push out to 0.5,0
-- Yonik suggested this on java-dev.,0
-1 overall.,0
-1 tests included.,0
":-)
Cheers",0
":)
Best regards,
Fabian.",1
(2) HDFS-4979 introduced RetryCache in the NameNode.,0
(A 2GB memstore flush is fine when lzo is on but we want something for default).,0
(Both the patch and the JUnit tests).,0
(review board is helpful).,0
"(There is no PageManager at all; there is a ContentManager, which will have a very similar API, but it will manage both pages and attachments.",0
(We are retrying once and if we fail twice we give up).,0
"(will commit after Hudson +1s, that is)",0
"[0] http://dojotoolkit.org/~dylan/dojo/tests/widget/demo_DatePicker.html
[1] http://extjs.com/deploy/ext/examples/form/dynamic.html (3rd form)",0
[bulk update] Close all resolved issues that haven't been updated for more than one year.,0
{{PreTestTarget}} is a garbage I have missed out.,0
{color:green}+1 core tests{color}.,0
"@Andy
I have some thing which is similar to this and sorry if am diverting the current JIRA title.",0
@Ashutosh: thanks a lot for the comments.,1
"@Ivan, could you please add your comments?",0
"@Jon,
+1 the patch looks good.",0
@Matt It would if I submitted the patch... Ugh Lets see.,0
"@Stack, @Ted Can u people have a look at the patch pls?",0
* properties may or may not match how a SQL engine would store them.,0
"* property may be as a delimited identifier, e.g.",0
"*, he knows that the classes are potentially unstable.",0
# filter.filterRow() is called *after* filterKeyValue in the normal flow of things.,0
+ http://tomee.apache.org/datasource-config.html explains that IgnoreDefaultValues can be used to avoid it,0
"+1
I committed this.",0
+1 @author.,0
+1 Committed.,0
+1 for commit.,0
+1 I just committed this.,0
+1 javadoc.,0
"+1 Looks good
I just committed this.",0
+1 on patch.,0
"+1, committed, thanks",0
"+1, if the test is problematic, we can always either comment out the new test, or @Ignore it, and add a note.",0
"+1, patch looks good to me.",0
"+1, thanks Henry
Committed revision 779716.",0
"+1, thanks Tom!",1
"+1, the latest patch looks good to me.",0
+1.,0
+1.,0
+1.,0
"> Attached is d1644_combined_v3.diff, a patch proposal which combines the two previous code change patches.",0
> Eagerly awaiting faster mirroring with github.,0
> We can convert from Java object to JsonNode by parsing the output of GenericData.toString(Object).,0
"540843
I'm leaving this issue open because a similar patch should be applied to the ecommerce/includes/language.ftl file
Jacopo",0
"897392
Thanks Sharan !",1
A pleasure :>.,1
A test suite that shows the issue,0
"Aaron:
I completely agree the parser needs to be changed, but I don't currently have the time available.",0
Actually I thought to take a look on this weekend.,0
"Added comment before ""Path getPath()"" to address Todd's comment.",0
Added patch to support configuration mapping,0
"Adrian,
I cannot find the listVisualThemes.ftl file in your last patch.",0
"Adrian,
thanks for the patch: rev.",1
"Ah and I am running 10.2 SVN 540841, as this fixes DERBY-2549.",0
"ahhh sweet, i'm guessing you have an IDE that does this? If the tests pass commit, this kinda crap goes out of date too fast!",1
"Alejandro Abdelnur, sorry I don't get it, what history you want to keep?",0
"Alejandro, we are in a middle of the release right now, but I'll work on that over the weekend, perhaps.",0
All the changes are correct.,0
All the regression tests ran cleanly with client-imports.diff.,0
"Allen, has Jon addressed all of your concerns?",0
Also adds the tests to the _Suite class.,0
Also please list what manual steps were performed to verify this patch.,0
"Although as far as I see it, the bug here is that we allow the underscore after ""_design/"" not that we can't use filters from it.",0
"Am I missing the connection, or is this a distinct issue?",0
And compatibility test also ....,0
and how can I verify the history is not lost?,0
And I think I will do more next time.,0
And new we've had two failures within a few days.,0
Any help would be appreciated.,0
Anyone else have any comments?,0
Anyone else want to chime in?,0
Apache Karaf 2.1.1 is now available for download :),0
Applied combined patch from Shiva and BJ at r692233.,0
Applied patch from Keheliya Gallaba.,0
Applied patch in r637925,0
Applied patch with thanks to Dan :),0
Applied the patch with revision 169493 -- thanks.,0
Applying both patches results in clean tests (jdbc4 tests and derbyall modulo wisconsin noise).,0
"As far as I understand the specification, [/jcr:system/jcr:versionStorage/17/66/ea/1766eaef-f0f5-4cf6-95ef-a1d7290257f9] is not a legal name:
http://www.day.com/specs/jcr/2.0/6_Query.html#6.7.4 Name
Name ::= '[' quotedName ']' | '[' simpleName ']' |
simpleName ::= /* A JCR Name that is also a legal SQL identifier 10 */
10 See the SQL:92 rules for <regular identifier> (in ISO/IEC 9075:1992 §5.2 <token> and <separator>).",0
"As I know this is working , [I didnt not test with JSR 181] , but I have tested with POJOs and it worked fine for me Thanks
Deepal",0
"As i wrote to the list, it does not work for me.",0
As soon as I remove wicket enclosure or add some text node inside - the navigation toolbar starts properly counting pages (it was showing 0 of 0 before because it thinks it is not visible in hierarchy).,0
"Ashu,
Please take a look at http://cvs.apache.org/viewcvs.cgi/xml-xerces/java/src/org/apache/xerces/dom/DeepNodeListImpl.java (mentioned by jongjin)
-- dims",0
At the very least the exception could explain what the problem is rather than what the state of an obscure private variable is.,0
