anger_train_comment,anger_train_label,anger_test_comment,anger_test_label,joy_train_label,joy_train_comment,joy_test_label,joy_test_comment,sadness_train_comment,sadness_train_label,sadness_test_comment,sadness_test_label,love_train_comment,love_train_label,love_test_comment,love_test_label
"- there were a hell of a bigger problem, though : as we were blocked in the executor until the SearchRequest was totally processed, all the responses were enqueued.",1,"- killed a stuck Camel build
- deleted the file as an administrator
- running build again now",0,1,This is awesome!,0,"For my larger suppliers, I will often have a 100 or more requirements built up.",2,0,23,0,1,0,"""eVe"".",0
-1 to jar hell.,1,"- the computedHashCode() didn't use the a single ""qualifier"", now it does.",0,1,v2 Looks good to me.,0,"Since the ""Approved Requirements"" screen paginates the requirements, I'll end up generating multiple orders for the same (large) supplier, simply because the application operates a page at a time.",22,0,:) Will have a look.,0,- Pass null username for superuser and remove isSuper paramenter.,0,(for ex.,0
":)
> except at much worse performance.",0,"""@deprecated"" isn't enough because it's just at the method/class level, not an internal if branch.",0,1,"Hey, you're right, that idea was probably not the best approach to the problem - 0.6 looks really nice, looking forward to it :)",0,This annoys my suppliers a bit.,- clear umask before creating a flie.,0,[~ashutoshc] Yeah you are right.,0,- push out to 0.5,0,[~ikelly] are you trying the right patch?,0
:org.osgi.compendium-1.0.1artifact and felix-1.0.4 framework,0,"), then I'm ok with that as well.",0,1,Thanks for moving so quickly on this guys.,0,"I guess the obvious thing to do is to go in and reconfigure the pagination so it doesn't (paginate), but if we had the ability to add items to existing POs then you could still use the pagination mechanism and build up the PO page-by-page (quite handy if your working through  your POs during less busy times of the day).

",- schedule,0,"[~shazron]Sorry, that was weird.",1,-- Yonik suggested this on java-dev.,0,"[~sershe], please bear with me - (1) could you please upload a rebased patch.",0
.tmp was empty).,0,"[~jbellis] The weird thing is that although *newSSTables.size() != newSSTablesSize* the assertion doesn't actually cause an error, so no stack trace, but swapping the assertion (as shown below) yields the stack trace below.",0,1,"Thanks, Sanjay!",0,This should have been fixed by commit 26a5b76ee6b77909a7b8d5b00924f12e1671373d.,":)
Sorry about that.",1,"[~shwethags], Can you please fix this right away ?",0,-1 overall.,0,"[ext]"" so we should fullfil the requirements for the atomic operation.",0
"""else { this.services.getAssignmentManager().assign(e.getKey(), true); }"" is called for another assignment.",0,{quote}You are messing down deep below hbase in dfs.,1,1,"Cool, thanks Daniel, we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)

Thanks,
--tim",0,"Verified on my vmware setup, extract volume is working fine now.","...and it seems like having 2 APIs, KV and Cell, for every method other than those that take Cell-types params...",0,"{code}
//Namesystem.java
public boolean isInSnapshot(BlockInfoUnderConstruction block);
{code}
In the implementation in FSNamesystem, it should try-catch the UnresolvedLinkException and log it as an error since the full path obtained from a file should not have unresolved link.",0,-1 tests included.,0,"@mahadev - I would love to help test a patch :) I'm currently using 3.3.1 + ZOOKEEPER-744 + ZOOKEEPER-790, applied in that order.",1
"""rich:comboBox is not a select component by nature"" - so what is it then if it's not used for selecting stuff?",0,"@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned.",1,1,This is a great suggestion.,0,"I did that first, but then remembered that when I did that in the past, people were unable to apply my patches, w/o doing the svn move themselves.",(@ddlatham: thats kinda funny that you wrote the linked-to article -- it was a random google search),0,@Joy: I agree that not losing heartbeats is the best scenario.,0,":-)
Cheers",0,"* packages, meaning that Xerces-J 2 is not 100% Pure Java (it depends on a specific aspect of specific versions of *Sun* JVMs).",0
(Do nothing): Are you serious about that?,1,"@Paul
Forget the previous patch, it added unneeded complexity for parsing and dealing with multivalue (line) ini file config parameters.",0,1,"great, thanks Joel.",0,"Anyway, for this file it's not really important I think - a very simple and tiny file, w/ no history to preserve?","(all you need to add is your derby.jar)
I'm testing the DerbyTest from Eclipse.",0,"@Matthew If you can contribute a section on SPNEGO authentication to the HttpClient tutorial, I'll commit your code to the official 4.1 branch of HttpClient
http://wiki.apache.org/HttpComponents/HttpClientTutorial
Oleg",0,":)
Best regards,
Fabian.",1,"+1
before committing, do you mind combining the new test with one of the existing ones?",0
(How bad is this?,1,* release of the framework.,1,1,"Thanks for reporting, solved!",0,"Please keep this open until reverse tests are configured, as we might have new issues coming from them.",(Also: have you verified that the channel will actually infinite-loop returning 0?,0,# Methods deprecation.,0,(2) HDFS-4979 introduced RetryCache in the NameNode.,0,"+1
Looks good to me.",0
"(In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)",1,+1 for the docs in the SRC though.,0,1,it belongs to faces 1.2 :),0,+1 on patch.,"(back from holidays, so a bit delayed, but) I confirm Andrzej's suggestion -- a plain-text only summarized is ideal for clustering for example.",1,+1 for making test behaves predictable.,0,(A 2GB memstore flush is fine when lzo is on but we want something for default).,0,+1 (subject to hudson),0
